        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25       0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Blend 2
! x/c      y/c
0.0010   0.0079
0.0025   0.0126
0.0050   0.0185
0.0075   0.0227
0.0125   0.0297
0.0250   0.0419
0.0500   0.0568
0.0750   0.0656
0.1000   0.0713
0.1500   0.0770
0.2000   0.0783
0.2500   0.0769
0.3000   0.0739
0.3500   0.0698
0.4000   0.0649
0.4500   0.0596
0.5000   0.0540
0.5500   0.0484
0.6000   0.0429
0.6500   0.0376
0.7000   0.0327
0.7500   0.0281
0.8000   0.0238
0.8500   0.0196
0.9000   0.0155
0.9500   0.0112
0.9750   0.0091
1.0000   0.0069
0.9750  -0.0111
0.9500  -0.0150
0.9000  -0.0231
0.8500  -0.0311
0.8000  -0.0391
0.7500  -0.0469
0.7000  -0.0547
0.6500  -0.0625 
0.6000  -0.0702
0.5500  -0.0777
0.5000  -0.0848
0.4500  -0.0913
0.4000  -0.0969
0.3500  -0.1016
0.3000  -0.1048
0.2500  -0.1062
0.2000  -0.1051
0.1500  -0.1003
0.1000  -0.0898
0.0750  -0.0810
0.0500  -0.0685
0.0250  -0.0490
0.0125  -0.0341
0.0075  -0.0257
0.0050  -0.0209
0.0025  -0.0138
0.0010  -0.0081
