        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25       0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Blend 5
! x/c      y/c
0.0010   0.0055
0.0025   0.0086
0.0050   0.0125
0.0075   0.0153
0.0125   0.0198
0.0250   0.0278
0.0500   0.0373
0.0750   0.0428
0.1000   0.0461
0.1500   0.0492
0.2000   0.0494
0.2500   0.0481
0.3000   0.0457
0.3500   0.0426
0.4000   0.0392
0.4500   0.0355
0.5000   0.0318
0.5500   0.0282
0.6000   0.0247
0.6500   0.0215
0.7000   0.0186
0.7500   0.0160
0.8000   0.0136
0.8500   0.0113
0.9000   0.0091
0.9500   0.0068
0.9750   0.0057
1.0000   0.0045
0.9750  -0.0078
0.9500  -0.0109
0.9000  -0.0173
0.8500  -0.0237
0.8000  -0.0300
0.7500  -0.0361
0.7000  -0.0422
0.6500  -0.0482
0.6000  -0.0540
0.5500  -0.0596
0.5000  -0.0648
0.4500  -0.0695
0.4000  -0.0735
0.3500  -0.0767
0.3000  -0.0788
0.2500  -0.0795
0.2000  -0.0782
0.1500  -0.0743
0.1000  -0.0660
0.0750  -0.0593
0.0500  -0.0499
0.0250  -0.0355
0.0125  -0.0245
0.0075  -0.0184
0.0050  -0.0150
0.0025  -0.0098
0.0010  -0.0056
