        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25       0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Blend 3
! x/c      y/c
0.0010   0.0063
0.0025   0.0099
0.0050   0.0145
0.0075   0.0178
0.0125   0.0231
0.0250   0.0325
0.0500   0.0438
0.0750   0.0504
0.1000   0.0545
0.1500   0.0584
0.2000   0.0590
0.2500   0.0576
0.3000   0.0550
0.3500   0.0516
0.4000   0.0477
0.4500   0.0434
0.5000   0.0391
0.5500   0.0348
0.6000   0.0307
0.6500   0.0268
0.7000   0.0232
0.7500   0.0199
0.8000   0.0169
0.8500   0.0139
0.9000   0.0110
0.9500   0.0081
0.9750   0.0066
1.0000   0.0050
0.9750  -0.0087
0.9500  -0.0121
0.9000  -0.0191
0.8500  -0.0261
0.8000  -0.0330
0.7500  -0.0397
0.7000  -0.0464
0.6500  -0.0530
0.6000  -0.0595
0.5500  -0.0657
0.5000  -0.0716
0.4500  -0.0769
0.4000  -0.0815
0.3500  -0.0851
0.3000  -0.0876
0.2500  -0.0885
0.2000  -0.0873
0.1500  -0.0831
0.1000  -0.0741
0.0750  -0.0666
0.0500  -0.0561
0.0250  -0.0401
0.0125  -0.0277
0.0075  -0.0209
0.0050  -0.0170
0.0025  -0.0112
0.0010  -0.0065
