        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.33087    0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Blend 1
! x/c      y/c
0.0010   0.0142
0.0025   0.0225
0.0050   0.0320
0.0075   0.0392
0.0125   0.0505
0.0250   0.0709
0.0500   0.0977
0.0750   0.1162
0.1000   0.1303
0.1500   0.01506
0.2000   0.1643
0.2500   0.1736
0.3000   0.1798
0.3500   0.1834
0.4000   0.1849
0.4500   0.1845
0.5000   0.1826
0.5500   0.1791
0.6000   0.1742
0.6500   0.1678
0.7000   0.1598
0.7500   0.1500
0.8000   0.1379
0.8500   0.1228
0.9000   0.1031
0.9500   0.0754
0.9750   0.0549
1.0000   0.0040
0.9750  -0.0568
0.9500  -0.0792
0.9000  -0.1107
0.8500  -0.1341
0.8000  -0.1530
0.7500  -0.1685
0.7000  -0.1815
0.6500  -0.1923
0.6000  -0.2011
0.5500  -0.2080
0.5000  -0.2129
0.4500  -0.2158
0.4000  -0.2164
0.3500  -0.2147
0.3000  -0.2102
0.2500  -0.2024
0.2000  -0.1907
0.1500  -0.1736
0.1000  -0.1485
0.0750  -0.1314
0.0500  -0.1092
0.0250  -0.0780
0.0125  -0.0549
0.0075  -0.0421
0.0050  -0.0344
0.0025  -0.0237
0.0010  -0.0146
